product,rating,rating count,price,product url
CUPSHE Women's Dresses Slip Boho Maxi Dress Lace Up Tassel V-Neck Flare Ruffle Beach Dressing  ,4.4 out of 5 stars,339  ,45.99,https://amazon.com/CUPSHE-Womens-Summer-Tassel-Dresses/dp/B0B2P7YPDG/ref=sr_1_63?keywords=clothing&qid=1682122036&sr=8-63
Amazon Essentials Women's High Rise Capri Active Sculpt Legging  ,4.3 out of 5 stars,"1,028  ",23.8,https://amazon.com/Amazon-Essentials-Womens-Legging-X-Large/dp/B08JLF3NHK/ref=sr_1_64?keywords=clothing&qid=1682122036&sr=8-64
"Simple Joys by Carter's Baby Girls' Short-Sleeve Bodysuit, Pack of 6  ",4.8 out of 5 stars,"42,618  ",17.1,https://amazon.com/Simple-Joys-Carters-Short-Sleeve-Bodysuit/dp/B01M35CVSI/ref=sr_1_65?keywords=clothing&qid=1682122036&sr=8-65
"CAMPSNAIL Biker Shorts Women with Pockets-5"" High Waisted Workout Spandex Tummy Control Gym Running Athletic Yoga Shorts  ",4.4 out of 5 stars,47  ,9.99,https://amazon.com/CAMPSNAIL-Pockets-5-Waisted-Workout-Athletic/dp/B0C1BJ6LVQ/ref=sr_1_66?keywords=clothing&qid=1682122036&sr=8-66
"Hanes Women's Crewneck Sweatshirt, EcoSmart Fleece Women's Pullover Sweatshirt, Sweatshirt for Women  ",4.3 out of 5 stars,"58,758  ",11.33,https://amazon.com/Hanes-Womens-V-Notch-Pullover-Sweatshirt/dp/B01I8JLLS4/ref=sr_1_67?keywords=clothing&qid=1682122036&sr=8-67
"Simple Joys by Carter's Girls and Toddlers' Tumbling Shorts, Pack of 4  ",4.8 out of 5 stars,"2,311  ",14.8,https://amazon.com/Simple-Joys-Carters-Toddler-Tumbling/dp/B08QW6YCGF/ref=sr_1_68?keywords=clothing&qid=1682122036&sr=8-68
Amazon Essentials Women's Sleeveless Woven Shirt  ,4.3 out of 5 stars,"1,769  ",21.8,https://amazon.com/Amazon-Essentials-Womens-Sleeveless-Leopard/dp/B082ZTBP1G/ref=sr_1_69?keywords=clothing&qid=1682122036&sr=8-69
"Simple Joys by Carter's Baby Boys' 2-Way Zip Cotton Footed Sleep and Play, Pack of 2  ",4.8 out of 5 stars,"10,474  ",17.1,https://amazon.com/Simple-Joys-Carters-2-Pack-Dinosaur/dp/B07ZPQ8VDN/ref=sr_1_70?keywords=clothing&qid=1682122036&sr=8-70
CRZ YOGA 2 in 1 Flowy Running Shorts for Women High Waisted Quick Dry Athletic Gym Lounge Workout Shorts Cute Tennis Skirts  ,4.5 out of 5 stars,20  ,26.0,https://amazon.com/CRZ-YOGA-Running-Waisted-Athletic/dp/B0BNHHS8VL/ref=sr_1_71?keywords=clothing&qid=1682122036&sr=8-71
"Simple Joys by Carter's Baby Girls' Long-Sleeve Bodysuit, Pack of 5  ",4.8 out of 5 stars,"37,051  ",16.1,https://amazon.com/Simple-Joys-Carters-Long-Sleeve-Bodysuit/dp/B01M2CO9DQ/ref=sr_1_72?keywords=clothing&qid=1682122036&sr=8-72
Gerber Baby Boys' 2-Pack Footed Pajamas  ,4.3 out of 5 stars,"8,230  ",14.99,https://amazon.com/Gerber-2-Pack-Footed-Pajamas-Months/dp/B09955QPJ5/ref=sr_1_74?keywords=clothing&qid=1682122036&sr=8-74
Carhartt Men's Loose Fit Heavyweight Long-Sleeve Pocket T-Shirt  ,4.7 out of 5 stars,"42,287  ",20.98,https://amazon.com/Carhartt-Workwear-Long-Sleeve-Regular-X-Large/dp/B002WJXWT8/ref=sr_1_75?keywords=clothing&qid=1682122036&sr=8-75
"TNNZEET 2 Pack Plus Size High Waisted 8"" Biker Shorts for Women—Buttery Soft Black Yoga Shorts（2X, 3X, 4X）  ",4.5 out of 5 stars,"2,339  ",15.99,https://amazon.com/TNNZEET-Waisted-Women-Buttery-Maternity-Shorts%EF%BC%882X/dp/B09PZXNGFF/ref=sr_1_76?keywords=clothing&qid=1682122036&sr=8-76
Amazon Essentials Men's Regular-Fit Tank Top  ,4.5 out of 5 stars,"7,874  ",11.3,https://amazon.com/Amazon-Essentials-Regular-Fit-Heather-X-Large/dp/B07HJ7CSFZ/ref=sr_1_77?keywords=clothing&qid=1682122036&sr=8-77
The Children's Place Boys' Short Sleeve Graphic T-Shirt  ,4.8 out of 5 stars,886  ,4.6,https://amazon.com/Childrens-Place-Sleeve-Graphic-T-Shirt/dp/B0BM8L789Q/ref=sr_1_78?keywords=clothing&qid=1682122036&sr=8-78
"Hanes Womens Wireless Bra, Full-Coverage Pullover Stretch-Knit Bra, Smoothing T-Shirt Bra  ",4.0 out of 5 stars,"30,075  ",10.99,https://amazon.com/Hanes-Pullover-Comfortflex-Wirefree-XX-Large/dp/B00L5YL644/ref=sr_1_79?keywords=clothing&qid=1682122036&sr=8-79
Sundwudu 4 Pack Biker Shorts for Women - 8” High Waist Tummy Control Summer Workout Shorts for Running Yoga Athletic  ,4.5 out of 5 stars,"7,332  ",23.99,https://amazon.com/Sundwudu-Pack-Biker-Shorts-Women/dp/B09ST7KQW7/ref=sr_1_80?keywords=clothing&qid=1682122036&sr=8-80
"Simple Joys by Carter's Toddlers and Baby Boys' Tank Tops, Multipacks  ",4.8 out of 5 stars,"8,345  ",19.1,https://amazon.com/Simple-Joys-Carters-Toddler-3-Pack/dp/B07965ZH98/ref=sr_1_81?keywords=clothing&qid=1682122036&sr=8-81
Fruit of the Loom Girls' Undershirts (Camis & Tanks)  ,4.4 out of 5 stars,"32,470  ",8.99,https://amazon.com/Fruit-Loom-Girls-Undershirts-Toddler/dp/B082TFLN3K/ref=sr_1_82?keywords=clothing&qid=1682122036&sr=8-82
"FULLSOFT High Waisted Biker Shorts for Women-5"" Tummy Control Fitness Athletic Workout Running Yoga Gym Shorts  ",4.4 out of 5 stars,126  ,9.99,https://amazon.com/FULLSOFT-Waisted-Women-5-Athletic-Small-Medium/dp/B0BJQ7CGWL/ref=sr_1_84?keywords=clothing&qid=1682122036&sr=8-84
The Children's Place Boys' Pull on Cargo Shorts  ,4.7 out of 5 stars,"19,233  ",13.53,https://amazon.com/Childrens-Place-Pull-Cargo-Shorts/dp/B01FKZRV4M/ref=sr_1_85?keywords=clothing&qid=1682122036&sr=8-85
SheIn Women's Guipure Lace Deep V Neck Short Sleeve Shirt Colorblock Blouse Top  ,3.8 out of 5 stars,530  ,27.99,https://amazon.com/SheIn-Womens-Guipure-Colorblock-X-Large/dp/B09VKYBQJY/ref=sr_1_86?keywords=clothing&qid=1682122036&sr=8-86
"Simple Joys by Carter's Baby Girls' Pant, Pack of 4  ",4.8 out of 5 stars,"33,226  ",22.7,https://amazon.com/Simple-Joys-Carters-4-Pack-Months/dp/B01M5JGQ67/ref=sr_1_87?keywords=clothing&qid=1682122036&sr=8-87
Amazon Essentials Women's Classic-Fit Twist Sleeve Crewneck T-Shirt  ,4.3 out of 5 stars,"2,476  ",19.0,https://amazon.com/Amazon-Essentials-Classic-T-Shirt-Heather/dp/B08P4RCP43/ref=sr_1_88?keywords=clothing&qid=1682122036&sr=8-88
